wn_synset	babelnet_id	pos	lemmata en	lemmata fr	definition	confidence	dist_from_music	dist_from_entity
n02771004	bn:00007821n	n	backspace_key, backspace, backspacer	^h, ^w, backspace, retour_arriere, retour_arrière	the typewriter key used for back spacing	0.495	14	10
n06866919	bn:00035081n	n	flat	♭, bémol	a musical notation indicating one half step lower than the note named	0.541	7	7
n06865049	bn:00002805n	n	alla_breve	2/2, alla_breve, c_barré	a musical time signature indicating two or four half notes to a measure	0.778	8	8
a02252352	bn:00096108a	a	a_cappella	a_cappella	sung without instrumental accompaniment	1.0	99	99
n10909929	bn:00000188n	n	Copland, Aaron_Copland	aaron_copland	United States composer who developed a distinctly American music (1900-1990)	0.349	12	8
n10221040	bn:00028286n	n	jerk, dork	abruti, nouille	a dull stupid fatuous person	0.5	10	6
n10693052	bn:00020639n	n	tax_collector, taxman, exciseman, collector_of_internal_revenue, internal_revenue_agent	accisien, percepteur, publicain, receveur_des_finances, receveur, collecteur_d'impôts, percepteur_d'impôts	someone who collects taxes for the government	0.479	12	8
n06691989	bn:00005053n	n	applause, hand_clapping, clapping	acclamation, applaudissements, applaudissement, clapping	a demonstration of approval by clapping the hands together	0.327	5	5
n09760913	bn:00000720n	n	accompanist, accompanyist	accompagnateur	a person who provides musical accompaniment (usually on a piano)	0.919	11	7
n07031752	bn:00000717n	n	accompaniment, musical_accompaniment, backup, support	accompagnement_musical, accompagnement	a musical part (vocal or instrumental) that supports or provides background for other musical parts	0.941	3	7
n02672831	bn:00000732n	n	accordion, piano_accordion, squeeze_box	accordeon, akkordeon, akordeons, fisarmonica, accordéon, accordéon-piano	a portable box-shaped free-reed instrument; the reeds are made to vibrate by air from the bellows controlled by the player	0.454	13	9
n09761310	bn:00000734n	n	accordionist	accordéoniste	a musician who plays the accordion	0.457	11	7
v01727354	bn:00084943v	v	chord	accorder	play chords on (a string instrument)	0.667	99	99
n10926597	bn:00019595n	n	Debussy, Claude_Debussey, Claude_Achille_Debussy	achille-claude_debussy, claude-emma_debussy, claude_achille_debussy, claude_debussy, debussy	French composer who is said to have created Impressionism in music (1862-1918)	0.464	12	8
n07065562	bn:00000912n	n	psychedelic_rock, acid_rock	acid_rock, neo-psychedelia, psychedelic_rock, rock_psychedelique, rock-psyché, rock_psyché, rock_psychédélique	a musical style that emerged in the 1960s; rock music inspired by or related to drug-induced experience	0.797	4	7
n07047804	bn:00001237n	n	adagio	adagio	(music) a composition played in adagio tempo (slowly and gracefully)	0.764	2	6
n04419642	bn:00076846n	n	theremin	aetherophone, termenvox, terminvox, theramin, thereminvox, theremine, theremin, thérémin, thérémine, èthérophone, éthérophone, théréminovox	an electronic musical instrument; melodies can be played by moving the right hand between two rods that serve as antennas to control pitch; the left hand controls phrasing	0.504	13	9
n10077593	bn:00013648n	n	fan, buff, devotee, lover	aficionado, inconditionnel, mordu, dévot, passionné	an ardent follower and admirer	0.75	9	5
n07008544	bn:00001879n	n	afterpiece	afterpiece	a brief dramatic piece (usually comic) presented after a play	0.182	11	7
a01214430	bn:00110516a	a	shrill, sharp	aigu, criard	having or emitting a high-pitched and sharp tone or tones	1.0	99	99
n07049514	bn:00005624n	n	aria	air, aria	an elaborate song for solo voice	0.78	3	7
n07028373	bn:00002191n	n	tune, melody, air, strain, melodic_line, line, melodic_phrase	air, melodie, mélodie, ligne_mélodique, phrase_mélodique	a succession of notes forming a distinctive sequence	0.657	1	5
n11129130	bn:00002403n	n	Lerner, Alan_Jay_Lerner	alan_jay_lerner, alan_lerner	United States lyricist who collaborated on musicals with Frederick Loewe (1918-1986)	0.225	11	7
n10846089	bn:00002438n	n	Berg, Alban_Berg	alban_berg	Austrian composer in Schoenberg's twelve-tone music system (1885-1935)	0.424	12	8
n06591815	bn:00002488n	n	album, record_album	album_de_musique, album_musical, album_studio, albums_studio, album	one or more recordings issued together; originally released on 12-inch phonograph records (usually with attractive record covers) and later on cassette audiotape and compact disc	0.589	11	7
n06592421	bn:00009907n	n	tribute_album, benefit_album	album_hommage	concept album compiling a performer's work or work supporting some worthy cause	0.868	13	9
n06592078	bn:00021548n	n	concept_album	album-concept, album_concept, concept-album, concept_album	an album whose recordings are unified by some theme (instrumental or lyrical or narrative or compositional)	0.789	12	8
n10858333	bn:00002571n	n	Borodin, Aleksandr_Borodin, Aleksandr_Porfirevich_Borodin	alexander_porfirjewitsch_borodin, alexandre_borodine, alexandre_porfirievitch_borodine, borodine	Russian composer (1833-1887)	0.339	12	8
n11289830	bn:00002575n	n	Scriabin, Aleksandr_Scriabin, Aleksandr_Nikolayevich_Scriabin	alexander_scriabine, alexander_scriabin, alexandre_scriabine, scriabine, scriabin, skriabine	Russian composer of orchestral and piano music (1872-1915)	0.516	12	8
n06693655	bn:00042676n	n	hallelujah	alleluia, hallelujah, halleluyah, alléluia	a shout or song of praise to God	0.188	10	8
n07049205	bn:00053539n	n	Marseillaise	allons_enfants_de_la_patrie, hymne_national_de_la_france, la_marseillaise, marseillaise, hymne_national_français, chant_de_guerre_pour_l'armée_du_rhin	the French national anthem	0.262	5	9
n06867345	bn:00000693n	n	accidental	alteration, altération	a musical notation that makes a note sharp or flat or natural although that is not part of the key signature	0.622	7	7
n04536335	bn:00080033n	n	viola	alto_violon, alto, violon_alto, viole	a bowed stringed instrument slightly larger than a violin, tuned a fifth lower	0.688	14	10
n07020895	bn:00056443n	n	music	amateur_de_musique, dilettante, musique, mélomane	an artistic form of auditory communication incorporating instrumental or vocal tones in a structured and continuous manner	0.428	0	4
